column_name,data_type
process_date,timestamp
invoice_date,date
cin,int64
cin_desc,string
dc,int64
dc_name,string
product_class_code,int64
product_class_desc,string
cf_customer_demand_rca,string
lf_ship_to_customer_num,int64
sap_ship_to_customer_number,int64
sap_ship_to_customer_name,string
contract_group_number,string
contract_group_name,string
ndc,int64
buyer_number,int64
buyer_name,string
lf_aa_code,string
lf_customer_order_date,date
lf_order_qty,float64
cf_average_16week_order_qty_ship_to_cust,float64
cf_stddev_shiptocustomer_cin_qty,float64
cf_stddev_affiliation1_cin_qty,float64
cf_stddev2_shiptocustomer_cin_qty,float64
cf_stddev2_affiliation1_cin_qty,float64
cf_customer_order_8weeks_flag,int64
lf_ship_to_location_num,int64
cf_inv_forecast_3days,float64
lf_l01_afltn_num,int64
l01_afltn_name,string
lf_l02_afltn_num,int64
l02_afltn_name,string
lf_l03_afltn_num,int64
l03_afltn_name,string
orig_order_qty,float64
ship_qty,float64
short_qty,float64
cf_network_rec_qty,float64
cf_network_forecast_qty,float64
cf_network_holdout_qty,float64
cf_network_backorder_qty,float64
lf_inv_demandforecast_forecasting_period,float64
lf_inv_customer_back_order_quantity,float64
aa_supplier_date,string
inv_snapshot_date,date
inv_snapshot_week_start_date,date
inv_snapshot_dte_key_num,int64
inv_week_start_dte_key_num,int64
inv_snapshot_day_of_week_num,int64
inv_snapshot_day_of_week,string
inv_location_num,int64
inv_client_id,string
inv_corp_item_num,string
inv_item_id,string
inv_activity_class_code,string
inv_buyer_id,string
inv_buyer_work_field_number,string
inv_dfaem_forecast_id,string
inv_purchasing_supplier_ship_point,string
inv_purchasing_supplier_sub_group,string
inv_purchasing_supplier,string
inv_order_group_id,string
inv_replenishment_point,string
inv_forecasting_class_code,string
inv_item_class_code,string
inv_date_sku_added_database,date
inv_demand_seasonal_profile,string
inv_freeze_forecast_until_date,date
inv_allow_frozen_forecast_increase_decrease,string
inv_manual_minimum_type,string
inv_po_divisor_descriptor,string
inv_popularity_code,string
inv_service_group,string
inv_lost_sales_utilize_forecasting,string
inv_current_future_planned_demand,string
inv_safety_stock_strategy,string
inv_average_purchase_price,float64
inv_balance,float64
inv_balance_days,float64
inv_buying_multiple,int64
lf_inv_deviation_percentage,float64
inv_qty_on_hand,int64
inv_final_order_quantity,float64
inv_adjusted_joint_order_point_days,float64
lf_inv_adjusted_joint_order_point_units,float64
inv_joint_order_cycle_days,float64
inv_joint_order_cycle_units,float64
inv_lead_time_in_use,float64
inv_lead_time_units_calculated,float64
inv_manual_minimum_value,float64
inv_on_hand_days,float64
inv_on_order_days,float64
inv_qty_on_order,int64
inv_seasonalforecast_forecasting_period,float64
inv_safety_stock_days,float64
inv_safety_stock_units,float64
inv_po_divisor_multiplier,float64
inv_total_committed_units_calculated,float64
inv_out_of_stock_point,float64
inv_two_periods_ago_demand,float64
inv_three_periods_ago_demand,float64
inv_last_forecast_shipped,float64
inv_previous_estimated_promo_lost_sales,float64
inv_last_forecast_est_lost,float64
inv_manual_minimum_units_calculated,float64
inv_manual_minimum_days_calculated,float64
inv_item_order_point_adjustment,float64
inv_skijpu,float64
inv_lead_time_deviation_use,float64
inv_qfactor_df_integration,float64
inv_lost_history_period_to_date_from_interface,float64
inv_lost_forecast_period_to_date_from_interface,float64
inv_period_to_date_interfaced_lost_sales_units,float64
inv_last_forecast_int_lost,float64
inv_last_period_forecast,float64
inv_period_to_date_estimated_lost_sales_units,float64
inv_period_to_date_orders_filled_units,float64
inv_shipped_forecast_period_to_date,float64
inv_shipped_history_period_to_date,float64
inv_planned_demand_over_time_period_for_order,float64
inv_planned_demand_quantity_details_exist,float64
inv_annual_demand_forecast,float64
inv_total_extra_days,float64
inv_service_level_attained_average,float64
inv_service_level_attained_last_period,float64
inv_service_level_received_from_supplier,float64
inv_hold_out_days_input,float64
inv_suggested_order_quantity_requirements,float64
inv_expected_service_percent,float64
inv_management_safety_stock_policy_variable,float64
inv_on_hand_dlr,float64
inv_on_order_dlr,float64
inv_seas_fcst_dlr,float64
inv_non_seas_fcst_dlr,float64
inv_safety_stock_dlr,float64
inv_lead_time_dlr,float64
inv_order_cycle_dlr,float64
inv_sktcmu_dlr,float64
inv_holdout_dlr,float64
inv_customer_backorder_dlr,float64
inv_order_point_dlr,float64
inv_qfactor_qty,float64
inv_qfactor_dlr,float64
inv_last_period_demand_qty,float64
inv_internal_on_order_dlr,float64
inv_external_on_order_dlr,float64
inv_manmin_dlr,float64
inv_extra_days_dlr,float64
inv_fdc_available_units_on_hand,float64
inv_fdc_available_units_on_hand_order,float64
inv_count_positive_on_hand,int64
inv_count_negative_on_hand,int64
inv_count_positive_on_hand_order,int64
inv_count_negative_on_hand_order,int64
cf_average_16week_order_qty_afltn,float64
cf_cin_orig_order_qty,float64
cf_cin_order_qty,float64
cf_cin_ship_qty,float64
cf_cin_short_qty,float64
cf_sum_order_qty_ship_to_cust,float64
cf_sum_order_qty_afltn,float64
cf_cin_dc_short_qty,float64
invoice_number,int64
invoice_line_number,int64
lf_cin_status,string
lf_card_gen_ind_cde,int64
supplier_type_code,int64
supplier_type_desc,string
cf_order_point,float64
cf_sum_order_qty_dc,float64
cf_sap_ship_to_customer_cin_short_qty,float64
cf_afltn_order_8weeks_flag,int64
lf_short_code,string
lf_shrt_id,string
lf_vbap_shrt_id,string
acct_class_cde,string
cf_cin_dc_order_qty,float64
cf_cin_dc_orig_order_qty,float64
cf_cin_dc_ship_qty,float64
mtrl_num_raw,string
plant_raw,string
supplier_num_raw,string
ship_to_acct_raw,string
affiliation_num_1_raw,string
affiliation_num_2_raw,string
affiliation_num_3_raw,string
inv_skrldt,date
lf_customer_order_datetime,timestamp
curr_aa_code,string
cf_sum_order_qty_ship_to_cust_aggregated,float64
cf_sum_order_qty_afltn_aggregated,float64
