Process Date,Buyer,Supplier,CIN,Item Desc,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,604,2366.0,3525854,VISIPAQUE BT 320MG/ML10X150ML PLM,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,606,612.0,4599726,NEUPRO AP 6MG/24HR 30,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,645,11116.0,5801121,RICOLA LZ 2MG 24 HNY HRB,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,648,7060.0,5577333,SUDAFED SIN/CONG 12H TB 120MG 20,Product in Blocked - FDC,4,6,6,,,,,,,
2025-02-17,647,1074.0,1964352,MONOJECT ORAL SY 100 6ML CLR,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,624,10841.0,5910641,SOD/POT/MAG SULF SL 2X177ML,Product in Blocked - FDC,3,3,3,,,,,,,
2025-02-17,624,9825.0,5061890,MONTELUKAST SODIUM CW 4MG 5X10UD,Product in Blocked - FDC,2,1,1,,,,,,,
2025-02-17,628,4097.0,4025086,OXCARBAZEPINE TB 600MG 100,Product in Blocked - FDC,2,3,3,,,,,,,
2025-02-17,602,10367.0,5943451,ZOMIG SN 5MG 6 NSL SPRY,Product in Blocked - FDC,2,2,2,,,,,,,
2025-02-17,613,2593.0,5423470,BIKTARVY 50-200-25MG TB 30 CPLT,Product in Blocked - FDC,1,4,4,,,,,,,
2025-02-17,633,10556.0,5515598,RIZATRIPTAN BENZO TB 5MG 2X6UD,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,645,4149.0,5294350,LDR ALLERGY RLF-D24 TB 240-10MG15,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,157.0,1135284,SODIUM CL IS 0.9% 36X250ML VF,Product in Blocked - FDC,1,2,2,,,,,,,
2025-02-17,606,2803.0,5245980,TRINTELLIX TB 10MG 30,Product in Blocked - FDC,1,60,101,,,,,,,
2025-02-17,647,735.0,1827336,BD ND 18GX1N RG 100 305195,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,645,9809.0,5321963,TUMS CW 750MG 60 A/BRY,Product in Blocked - FDC,0,3,3,,,,,,,
2025-02-17,647,735.0,4403903,BD POSIFL SAL SY0.9%30X10ML LF PF,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,648,490.0,5827852,BOUNTY PAPER DOUBLES RG TWLS 4,Product in Blocked - FDC,0,12,12,,,,,,,
2025-02-17,624,4782.0,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,606,153.0,4756680,MYRBETRIQ ER TB 50MG 30,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,606,612.0,5249909,BRIVIACT TB 100MG 60           C5,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,4782.0,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,4782.0,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,2552.0,4037057,CETIRIZINE HCL SR 1MG/ML 120ML,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,3597.0,5172358,MORPHINE TB 15MG 100 ER        C2,Product in Blocked - FDC,0,2,3,,,,,,,
2025-02-17,624,4782.0,3590072,TIZANIDINE HCL TB 4MG 1000,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,2552.0,4037057,CETIRIZINE HCL SR 1MG/ML 120ML,Product in Blocked - FDC,0,13,13,,,,,,,
