Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,3,Product in Blocked - NLC,0,5,5,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,19,Product in Blocked - NLC,0,5,5,,,,,,,
2025-02-17,628,,5204540,OLANZAPINE PR 10MG PPX,24,Product in Blocked - NLC,0,6,6,,,,,,,
2025-02-17,628,,5832514,KETOROLAC TROMETH TB 10MG 100,43,Product in Blocked - FDC,0,8,8,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,15,Product in Blocked - NLC,0,9,9,,,,,,,
2025-02-17,627,,3324340,AMPHET SALT CMB TB 20MG 100    C2,10,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5917323,LISDEXAMFETAMINE CP 70MG 90    C2,16,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,627,,5547013,CALCIUM GLUC IP 2000/100 24X100ML,26,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,627,,3508215,AMOXICILLIN PT 400MG/5ML 75ML,26,Product in Blocked - FDC,0,2,6,,,,,,,
2025-02-17,627,,5366943,ATOMOXETINE HCL CP 40MG 30,11,Product in Blocked - FDC,0,3,9,,,,,,,
2025-02-17,627,,5498738,LEVOTHYROXINE TB 200MCG 100,32,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,627,,5529037,VANCOMYCIN IP 1GM/200ML 12X200ML,19,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,627,,5770409,ALBUTEROL SULFATE IN 90MCG 6.7GM,10,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,24,Product in Blocked - NLC,0,1,1,,,,,,,
2025-02-17,628,,5965694,CIMETIDINE HCL LQ 300MG/5ML 237ML,27,Product in Blocked - NLC,0,1,1,,,,,,,
2025-02-17,628,,5369400,THEOPHYLLINE SL 80MG/15ML 473ML,8,Product in Quarantine - NLC,0,1,1,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,29,Product in Blocked - NLC,0,1,1,,,,,,,
2025-02-17,628,,2752103,POTASS CIT/CIT SL 1100-334MG473ML,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5770409,ALBUTEROL SULFATE IN 90MCG 6.7GM,16,Product in Blocked - FDC,0,7,7,,,,,,,
2025-02-17,627,,5699723,EMTRIC TENOF DF TB 200-300MG 30,43,Product in Blocked - FDC,0,116,137,,,,,,,
2025-02-17,628,,5389051,GUAIFEN SL 200/10 100X10MLUD,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,628,,5694385,LUBIPROSTONE GC 24MCG 60 SFG,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,,5394689,CARBOPLATIN MF 10MG/ML 60ML,8,Product in Blocked - FDC,0,1,8,,,,,,,
2025-02-17,622,,4371837,PANTOPRAZOLE SOD TB 20MG 90 DR,43,Product in Blocked - FDC,0,1,2,,,,,,,
2025-02-17,622,,5589841,DEFERASIROX TB 360MG 30,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,617,,5704358,VIOKACE TB 78300-20880-78300U 100,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,606,,3633203,VESICARE TB 10MG 30,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,606,,5746797,LYBALVI TB 20-10MG 30 CPLT,29,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,604,,3525789,OMNIPAQUE BT 300MG/ML 10X150 PLM,26,Product in Blocked - FDC,0,1,5,,,,,,,
2025-02-17,604,,3587524,XIFAXAN TB 200MG 30,8,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,605,,4909651,TIVICAY TB 50MG 30,16,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,603,,5855770,ESTRING 7.5MCG/24HR 2MG,16,Product in Blocked - FDC,0,3,5,,,,,,,
2025-02-17,622,,5655436,OSELTAMIVIR PHOS CP 75MG 10UD BPK,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,,2913788,DROPERIDOL SF 2.5MG/ML 25X2ML,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,,2913788,DROPERIDOL SF 2.5MG/ML 25X2ML,8,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,,4019089,METHYLPREDNISOLONE TB 8MG 25,6,Product in Blocked - FDC,0,2,3,,,,,,,
2025-02-17,622,,4305421,INDOMETHACIN PR 1MG,43,Product in Blocked - FDC,0,3,3,,,,,,,
2025-02-17,622,,5924097,OSELTAMIVIR PHOS CP 30MG 10 BPK,29,Product in Blocked - FDC,0,3,7,,,,,,,
2025-02-17,624,,4598280,NALTREXONE HCL TB 50MG 30,15,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,,5868138,LISDEXAMFETAMINE CP 50MG 100   C2,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5868146,LISDEXAMFETAMINE CP 60MG 100   C2,8,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,,5476882,MINOCYCLINE HCL ER TB 90MG 30CPLT,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5868153,LISDEXAMFETAMINE CP 70MG 100   C2,27,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,,4598306,NALTREXONE HCL TB 50MG 100,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,622,,5957675,LORAZEPAM SD 2MG/ML 25X1ML     C4,3,Product in Blocked - FDC,0,8,8,,,,,,,
2025-02-17,622,,5940952,ATORVASTATIN CALC TB 10MG 500,26,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,624,,5490057,OSELTAMIVIR PHOS CP 30MG 10UD,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5868138,LISDEXAMFETAMINE CP 50MG 100   C2,27,Product in Blocked - FDC,0,1,2,,,,,,,
2025-02-17,624,,4939633,QUETIAPINE FUM TB 200MG 100,43,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,,5868153,LISDEXAMFETAMINE CP 70MG 100   C2,26,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,,4037057,CETIRIZINE HCL SR 1MG/ML 120ML,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,27,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,624,,5868146,LISDEXAMFETAMINE CP 60MG 100   C2,43,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,9,Product in Blocked - FDC,0,2,8,,,,,,,
2025-02-17,624,,4370326,PANTOPRAZOLE SOD TB 40MG 1000 DR,16,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,,5169628,PANTOPRAZOLE SOD TB 40MG 1000 DR,26,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,,5910641,SOD/POT/MAG SULF SL 2X177ML,3,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,624,,5868146,LISDEXAMFETAMINE CP 60MG 100   C2,27,Product in Blocked - FDC,0,4,9,,,,,,,
2025-02-17,624,,5868112,LISDEXAMFETAMINE CP 30MG 100   C2,10,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,648,,5827852,BOUNTY PAPER DOUBLES RG TWLS 4,64,Product in Blocked - FDC,0,4,7,,,,,,,
2025-02-17,687,,4537478,XARELTO TB 20MG 30,26,Product in Blocked - FDC,0,1,4,,,,,,,
2025-02-17,645,,4330585,ALLEGRA 24H TB 180MG 5 BPK ND,26,Product in Blocked - FDC,0,1,2,,,,,,,
2025-02-17,645,,4116604,ROBITUSSIN PED C/C SR 118ML LA AF,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,640,,5439112,ACCU-CHEK GUIDE SI 100,35,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,647,,4403903,BD POSIFL SAL SY0.9%30X10ML LF PF,11,Product in Blocked - FDC,0,17,17,,,,,,,
