Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,625,,5585120,NIFEDIPINE ER TB 30MG 300,28,Product in Blocked - FDC,12,3,3,,,,,,,
2025-02-17,625,,5301700,TINIDAZOLE TB 500MG 20,18,Product in Quarantine - FDC,12,1,1,,,,,,,
2025-02-17,624,,5802012,SOD/POT/MAG SULF SL 2X177ML,26,Product in Blocked - FDC,12,4,4,,,,,,,
2025-02-17,625,,5714449,OSELTAMIVIR PHOS PT 6MG/ML 60ML,28,Product in Blocked - FDC,12,1,1,,,,,,,
2025-02-17,628,,4924239,TIZANIDINE HCL TB 4MG 10X10UD,43,Product in Quarantine - NLC,12,1,1,,,,,,,
2025-02-17,628,,4924239,TIZANIDINE HCL TB 4MG 10X10UD,26,Product in Quarantine - NLC,12,1,1,,,,,,,
2025-02-17,604,,5244736,ADZENYS XR-ODT TD 15.7MG 5X6   C2,18,Product in Quarantine - FDC,12,1,1,,,,,,,
2025-02-17,627,,5211024,FLECAINIDE ACETATE TB 100MG 100,16,Product in Blocked - FDC,11,6,6,,,,,,,
2025-02-17,628,,4543831,PANTOPRAZOLE SOD TB 40MG 500 DR,10,Product in Blocked - FDC,11,2,2,,,,,,,
2025-02-17,622,,4590188,CLOPIDOGREL TB 75MG 500,43,Product in Blocked - FDC,10,1,1,,,,,,,
2025-02-17,638,,5925797,OPI SEA WHAT I SEE LQ 3X0.5OZ,9,Product in Blocked - FDC,10,1,1,,,,,,,
2025-02-17,625,,5598891,MANNITOL IS 20% 12X500ML LF,27,Product in Quarantine - FDC,9,4,4,,,,,,,
2025-02-17,627,,5533989,DEXMEDETOMIDN IP 400MCG/100ML 12,11,Product in Blocked - FDC,9,6,6,,,,,,,
2025-02-17,624,,5402433,GABAPENTIN TB 600MG 500,10,Product in Blocked - FDC,9,1,1,,,,,,,
2025-02-17,647,,1154855,BD SY 23GX1N 3ML LL 100 309571,10,Product in Blocked - FDC,8,4,4,,,,,,,
2025-02-17,647,,4578977,GOOD2GO PC 5X16N CERV,64,Product in Blocked - FDC,7,3,3,,,,,,,
2025-02-17,627,,2473882,SODIUM CL IS 0.9% 80X100ML MNBG+,16,Product in Blocked - FDC,7,1,1,,,,,,,
2025-02-17,627,,5807334,ENALAPRIL TB 20MG 1000,16,Product in Blocked - FDC,6,3,3,,,,,,,
2025-02-17,617,,5962956,MINIVELLE AP 0.1MG/24HR 8,10,Product in Blocked - FDC,6,2,2,,,,,,,
2025-02-17,645,,5429949,MUCINEX F/MAX SCLD LQ 180ML,11,Product in Blocked - FDC,6,1,1,,,,,,,
2025-02-17,645,,4549697,CEPACOL MW 0.05% 710ML A/B,11,Product in Blocked - FDC,6,1,1,,,,,,,
2025-02-17,628,,4031134,OXCARBAZEPINE TB 600MG 500,28,Product in Blocked - FDC,5,1,1,,,,,,,
2025-02-17,633,,5576616,HYOSCY SULF SD 0.5MG/ML 5X1ML,28,Product in Blocked - FDC,5,1,1,,,,,,,
2025-02-17,628,,5358502,LEVLBUTRL AH 1.25MG/3ML30UD 1/PCH,10,Product in Blocked - FDC,4,6,11,,,,,,,
2025-02-17,627,,5498738,LEVOTHYROXINE TB 200MCG 100,19,Product in Blocked - FDC,4,5,5,,,,,,,
2025-02-17,625,,5714449,OSELTAMIVIR PHOS PT 6MG/ML 60ML,24,Product in Blocked - FDC,4,8,8,,,,,,,
2025-02-17,606,,4599726,NEUPRO AP 6MG/24HR 30,16,Product in Blocked - FDC,4,1,1,,,,,,,
2025-02-17,648,,5577333,SUDAFED SIN/CONG 12H TB 120MG 20,6,Product in Blocked - FDC,4,2,4,,,,,,,
2025-02-17,602,,5930151,ONGENTYS CP 50MG 30,10,Product in Blocked - FDC,3,1,1,,,,,,,
2025-02-17,628,,5358502,LEVLBUTRL AH 1.25MG/3ML30UD 1/PCH,10,Product in Quarantine - FDC,3,6,11,,,,,,,
2025-02-17,628,,5929740,NYSTATIN SS 100MU/ML 473ML ORAL,10,Product in Blocked - FDC,3,5,5,,,,,,,
2025-02-17,628,,5929773,AMOX/POT CLAV TB875-125MG 10X10UD,26,Product in Blocked - FDC,3,2,2,,,,,,,
