Process Date,Buyer,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2024-12-18,654,4598892,GUCCI GUILTY SP 1.6OZ WOMEN,64 - Kinray,Product in Blocked - FDC,12,1,1,,,,,,
2024-12-18,645,3621315,CLEARASIL ULT WASH LQ 2% 200ML,64 - Kinray,Product in Blocked - FDC,12,6,6,,,,,,
2024-12-18,641,4964474,POWER NEBULIZER ULTRA CMPS DSP,16 - Dallas,Product in Blocked - FDC,8,2,2,,,,,,
2024-12-18,622,5844394,AMPHET SALT CMB TB 15MG 100    C2,6 - Boston,Product in Blocked - FDC,8,1,4,,,,,,
2024-12-18,622,4031035,ONDANSETRON HCL TB 8MG 30,10 - Jackson,Product in Blocked - FDC,7,3,3,,,,,,
2024-12-18,622,5696166,LEVOTHYROXINE SODIUM TB 75MCG 90,24 - Hudson,Product in Blocked - FDC,3,3,3,,,,,,
2024-12-18,622,5896550,AMPICILLIN SOD PR 1GM 10,3 - Syracuse,Product in Blocked - FDC,3,1,2,,,,,,
2024-12-18,647,5510029,LVC FASH PH HS 20-30 BLK,64 - Kinray,Product in Blocked - FDC,2,1,1,,,,,,
2024-12-18,605,4279329,VICTOZA SY 6MG/ML 3X3ML PPN,64 - Kinray,Product in Blocked - FDC,2,1,1,,,,,,
2024-12-18,624,5027115,ACAMPROSATE CALC TB 333MG 180 DR,35 - Salt Lake,Product in Blocked - FDC,2,3,3,,,,,,
2024-12-18,628,5950985,SULFACET/SULF LQ 10-5% 340G CLNSR,35 - Salt Lake,Product in Blocked - FDC,2,1,1,,,,,,
2024-12-18,634,5679519,BIMATOPROST DR 0.03% 2.5ML OPTH,35 - Salt Lake,Product in Blocked - FDC,2,1,1,,,,,,
2024-12-18,628,5832399,TERIFLUNOMIDE TB 14MG 30,26 - Greensboro,Product in Blocked - FDC,2,3,3,,,,,,
2024-12-18,602,5943691,TRAVATAN Z DR 0.004% 2.5ML,24 - Hudson,Product in Blocked - FDC,1,1,1,,,,,,
2024-12-18,625,5790597,PHENYTOIN CW 50MG 5X6UD BAN,24 - Hudson,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,628,3548369,MAG-AL PLUS LQ 100X30MLUD,24 - Hudson,Product in Blocked - FDC,0,3,8,,,,,,
2024-12-18,633,4980785,PSEUDOEPHEDRINE HCL TB 120MG 10,24 - Hudson,Product in Blocked - FDC,0,11,11,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,19 - Phoenix,Product in Blocked - NLC,0,5,5,,,,,,
2024-12-18,647,1111673,BD ND 18GX1.5N RG 100  305196,19 - Phoenix,Product in Blocked - FDC,0,1,1,,,,,,
2024-12-18,604,4418935,SYNTHROID TB 88MCG 90,24 - Hudson,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,633,5763354,AMPHET SALT CMB TB 15MG 100UU C2,24 - Hudson,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,625,3544863,IBUPROFEN CHILD SS 100MG/5ML240ML,24 - Hudson,Product in Blocked - FDC,0,1,2,,,,,,
2024-12-18,625,4751426,SORE THROAT SPRAY SN 1.4% 177ML,24 - Hudson,Product in Blocked - FDC,0,2,2,,,,,,
2024-12-18,645,4544805,STYE OI 31.9-57.7% 3.5GM OPTH,16 - Dallas,Product in Blocked - FDC,0,48,48,,,,,,
2024-12-18,645,1235803,CITRUCEL PW 850GM LAX ORN,16 - Dallas,Product in Blocked - FDC,0,1,1,,,,,,
